"SampleID","SalmonID","Genotypic sex","species","Genetic_Stock_Best_Estimate","Probability_Best_Estimate","Genetic_Stock_2nd_Best_Estimate","Probability_2nd_Best_Estimate","PBT_Estimate","PBT_Hatchery_Probability"
"90839-001",50050,"M","chinook","Mid.Up_Columbia_R_sp","0.6564","Snake_R_sp","0.3436","Little_White_Salmon_sp","0.998581"
"90839-002",50051,"F","chinook","Snake_R_sp","0.81373722","Mid.Up_Columbia_R_sp","0.18606278","Lookingglass","0.998646"
"90839-003",50052,"F","chinook","Snake_R_sp","0.66073392","Mid.Up_Columbia_R_sp","0.33916608","Leavenworth","0.999059"
"90839-004",50053,"F","chinook","Snake_R_sp","0.5954","Mid.Up_Columbia_R_sp","0.4046","Dworshak","0.994260"
"90839-005",50054,"F","chinook","Spring_Cr_Group_tule","1","Deschutes_R_fa","0",NA,NA
"90839-006",50055,"M","chinook","Snake_R_sp","0.9998","Deschutes_R_fa","0","Sawtooth","0.988212"
"90839-007",50056,"M","chinook","Snake_R_sp","0.992","Mid.Up_Columbia_R_sp","0.008","Rapid_River","0.993393"
"90839-008",50057,"F","chinook","Snake_R_sp","0.686","Mid.Up_Columbia_R_sp","0.314","Leavenworth","0.983124"
"90839-009",50058,"F","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-010",50059,"F","chinook","Snake_R_sp","1","Deschutes_R_fa","0",NA,NA
"90839-012",50061,"F","chinook","Mid.Up_Columbia_R_sp","0.90824565","Snake_R_sp","0.09125435","Eastbank_sp","0.999996"
"90839-013",50062,"M","chinook","Mid.Up_Columbia_R_sp","0.7911444","Snake_R_sp","0.2027556","Dworshak","0.992403"
"90839-014",50063,"M","chinook","Mid.Up_Columbia_R_sp","0.6138","Snake_R_sp","0.3862","Carson","0.996010"
"90839-015",50064,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-016",50065,"F","chinook","Snake_R_sp","0.998","Mid.Up_Columbia_R_sp","0.002","Clearwater","0.998921"
"90839-017",50066,"F","chinook","Snake_R_sp","0.51563218","Mid.Up_Columbia_R_sp","0.48326782","McCall","0.998434"
"90839-018",50067,"F","chinook","Mid.Up_Columbia_R_sp","0.8188803","Snake_R_sp","0.1801197","Leavenworth","0.984783"
"90839-019",50068,"F","chinook","Willamette_R","0.9963","Deschutes_R_fa","0",NA,NA
"90839-020",50069,"F","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-022",50071,"M","chinook","Mid.Up_Columbia_R_sp","0.55787676","Snake_R_sp","0.44172324","Leavenworth","0.945070"
"90839-023",50072,"F","chinook","Mid.Up_Columbia_R_sp","0.51139536","Snake_R_sp","0.48820464","Clearwater","0.999539"
"90839-024",50073,"M","chinook","Mid.Up_Columbia_R_sp","0.5023","Snake_R_sp","0.4977","Little_White_Salmon_sp","0.996527"
"90839-025",50074,"M","chinook","Snake_R_sp","0.9998","Mid.Up_Columbia_R_sp","0.0002","Rapid_River","0.989356"
"90839-026",50075,"M","chinook","Mid.Up_Columbia_R_sp","0.9918","Deschutes_R_fa","0","Eastbank_sp","0.715428"
"90839-027",50076,"M","chinook","Willamette_R","1","Deschutes_R_fa","0","McKenzie","0.997670"
"90839-028",50077,"F","chinook","Willamette_R","0.9977012","W_Cascade_sp","0.0014988","S_Santiam","0.987416"
"90839-029",50078,"M","chinook","Willamette_R","0.9999","Deschutes_R_fa","0","Minto","0.989272"
"90839-030",50079,"F","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-031",50080,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-032",50081,"F","chinook","W_Cascade_sp","0.99090588","W_Cascade_fa","0.00829419",NA,NA
"90839-033",50082,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-034",50083,"F","chinook","W_Cascade_sp","0.9129032","W_Cascade_fa","0.0006398",NA,NA
"90839-035",50084,"M","chinook","Willamette_R","0.9999","Deschutes_R_fa","0",NA,NA
"90839-036",50085,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-039",50088,"F","chinook","Snake_R_sp","0.82739358","Mid.Up_Columbia_R_sp","0.16970642","McCall","0.998092"
"90839-040",50099,"M","chinook","Mid.Up_Columbia_R_sp","0.78372162","Snake_R_sp","0.21617838","Clearwater","0.997386"
"90839-041",50110,"M","chinook","Mid.Up_Columbia_R_sp","0.99300864","Snake_R_sp","0.00539136","Carson","0.998320"
"90839-043",50112,"F","chinook","Mid.Up_Columbia_R_sp","0.9998","Snake_R_sp","0.0002","Parkdale","0.999343"
"90839-044",50113,"M","chinook","Mid.Up_Columbia_R_sp","0.9474","Snake_R_sp","0.0526","Leavenworth","0.994753"
"90839-045",50114,"F","chinook","Mid.Up_Columbia_R_sp","0.8201","Snake_R_sp","0.1799","Carson","0.827418"
"90839-047",50116,"F","chinook","Snake_R_sp","0.99360063","Mid.Up_Columbia_R_sp","0.00629937","Dworshak","0.997401"
"90839-048",50117,"F","chinook","Mid.Up_Columbia_R_sp","0.8638","Snake_R_sp","0.1362",NA,NA
"90839-049",50118,"F","chinook","Snake_R_sp","0.9941","Mid.Up_Columbia_R_sp","0.0059","Rapid_River","0.998623"
"90839-050",50119,"F","chinook","Snake_R_sp","0.85952806","Mid.Up_Columbia_R_sp","0.14027194","Dworshak","0.995706"
"90839-051",50120,"F","chinook","Mid.Up_Columbia_R_sp","0.8149358","Snake_R_sp","0.1734642","Carson","0.989034"
"90839-052",50121,"M","chinook","Up_Columbia_R_su.fa","0.88651134","Snake_R_fa","0.11328867","Entiat","0.593483"
"90839-053",50122,"F","chinook","Mid.Up_Columbia_R_sp","0.9818","Snake_R_sp","0.0182",NA,NA
"90839-054",50123,"F","chinook","Mid.Up_Columbia_R_sp","0.979011","Snake_R_sp","0.009889","Carson","0.997941"
"90839-055",50124,"F","chinook","Mid.Up_Columbia_R_sp","0.827169","Snake_R_sp","0.172431","Leavenworth","0.998968"
"90839-056",50125,"M","chinook","Snake_R_sp","0.981","Mid.Up_Columbia_R_sp","0.019","Rapid_River","0.999122"
"90839-057",50126,"F","chinook","Snake_R_sp","0.9989","Mid.Up_Columbia_R_sp","0.0011","Lookingglass","0.986576"
"90839-058",50127,"M","chinook","Mid.Up_Columbia_R_sp","0.9617114","Snake_R_sp","0.0379886","Clearwater","0.983641"
"90839-059",50128,"M","chinook","Mid.Up_Columbia_R_sp","0.66582424","Snake_R_sp","0.32557576","Chief_Joseph_sp","0.998905"
"90839-060",50129,"F","chinook","Snake_R_sp","0.7185","Mid.Up_Columbia_R_sp","0.2815","Clearwater","0.997643"
"90839-061",50130,"F","chinook","Snake_R_sp","0.9975","Deschutes_R_fa","0",NA,NA
"90839-063",50132,"F","chinook","Snake_R_sp","0.99800051","Mid.Up_Columbia_R_sp","0.00169949","Rapid_River","0.997846"
"90839-065",50134,"F","chinook","Snake_R_sp","1","Deschutes_R_fa","0","Rapid_River","0.999932"
"90839-066",50135,"F","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-067",50136,"F","chinook","Mid.Up_Columbia_R_sp","0.8972","Snake_R_sp","0.1028",NA,NA
"90839-069",50138,"M","chinook","Snake_R_sp","0.9802","Mid.Up_Columbia_R_sp","0.0198",NA,NA
"90839-071",50140,"F","chinook","Mid.Up_Columbia_R_sp","0.84003222","Snake_R_sp","0.15786778","Carson","0.983911"
"90839-072",50141,"M","chinook","Mid.Up_Columbia_R_sp","0.81621837","Snake_R_sp","0.18368163","Dworshak","0.999712"
"90839-074",50143,"F","chinook","Snake_R_sp","0.9987","Mid.Up_Columbia_R_sp","0.0013",NA,NA
"90839-075",50144,"F","chinook","Snake_R_sp","0.9871","Mid.Up_Columbia_R_sp","0.0129","Sawtooth","0.996260"
"90839-076",50145,"M","chinook","Mid.Up_Columbia_R_sp","0.9998","Deschutes_R_fa","0","Parkdale","0.998933"
"90839-077",50146,"F","chinook","Snake_R_sp","0.9999","Mid.Up_Columbia_R_sp","0.0001",NA,NA
"90839-078",50147,"M","chinook","Mid.Up_Columbia_R_sp","0.9995","Snake_R_sp","0.0005","Little_White_Salmon_sp","0.997979"
"90839-079",50148,"F","chinook","Mid.Up_Columbia_R_sp","0.8588124","Snake_R_sp","0.1403876","Clearwater","0.994000"
"90839-080",50149,"F","chinook","Mid.Up_Columbia_R_sp","0.5842","Snake_R_sp","0.4158","Dworshak","0.999357"
"90839-083",50152,"F","chinook","Mid.Up_Columbia_R_sp","0.6308432","Snake_R_sp","0.3023568","Carson","0.997994"
"90839-084",50153,"F","chinook","Snake_R_sp","0.9285355","Mid.Up_Columbia_R_sp","0.0709645","Winthrop","0.998830"
"90839-086",50155,"F","chinook","Snake_R_sp","0.69529135","Mid.Up_Columbia_R_sp","0.30440865","Lookingglass","0.997353"
"90839-087",50156,"F","chinook","Mid.Up_Columbia_R_sp","0.9902144","Snake_R_sp","0.0079856","Carson","0.990951"
"90839-088",50157,"F","chinook","Snake_R_sp","0.9961","Mid.Up_Columbia_R_sp","0.0039","Dworshak","0.999009"
"90839-090",50159,"F","chinook","Mid.Up_Columbia_R_sp","0.9399357","Snake_R_sp","0.0594643","Parkdale","0.997291"
"90839-091",50160,"F","chinook","Snake_R_sp","0.89403171","Mid.Up_Columbia_R_sp","0.10566829",NA,NA
"90839-092",50161,"F","chinook","Snake_R_sp","1","Deschutes_R_fa","0",NA,NA
"90839-093",50162,"F","chinook","Snake_R_sp","0.9435","Mid.Up_Columbia_R_sp","0.0565",NA,NA
"90839-094",50163,"M","chinook","Mid.Up_Columbia_R_sp","0.9240471","Snake_R_sp","0.0144529","Little_White_Salmon_sp","0.999824"
"90839-095",50164,"F","chinook","Snake_R_sp","0.9986","Mid.Up_Columbia_R_sp","0.0014","Pahsimeroi","0.989599"
"90839-097",50166,"M","chinook","Snake_R_sp","1","Deschutes_R_fa","0","Rapid_River","0.999096"
"90839-098",50167,"F","chinook","Snake_R_sp","0.9995","Mid.Up_Columbia_R_sp","0.0005","Pahsimeroi","0.995493"
"90839-100",50169,"M","chinook","Mid.Up_Columbia_R_sp","0.9781086","Snake_R_sp","0.0214914","McCall","0.999148"
"90839-101",50170,"M","chinook","Mid.Up_Columbia_R_sp","0.95636736","Snake_R_sp","0.04203264",NA,NA
"90839-102",50171,"M","chinook","Snake_R_sp","0.9999","Mid.Up_Columbia_R_sp","0.0001","Rapid_River","0.971604"
"90839-104",50173,"F","chinook","Snake_R_sp","1","Deschutes_R_fa","0","Rapid_River","0.998428"
"90839-105",50174,"M","chinook","Snake_R_sp","0.96161624","Mid.Up_Columbia_R_sp","0.03158376",NA,NA
"90839-106",50175,"M","chinook","Willamette_R","0.9999","Deschutes_R_fa","0",NA,NA
"90839-107",50185,"F","chinook","Snake_R_sp","0.62457374","Mid.Up_Columbia_R_sp","0.37362626","Dworshak","0.997868"
"90839-108",50186,"F","chinook","Snake_R_sp","0.92399845","Mid.Up_Columbia_R_sp","0.07330155",NA,NA
"90839-110",50188,"F","chinook","Mid.Up_Columbia_R_sp","0.8539","Snake_R_sp","0.1461","Eastbank_sp","0.555330"
"90839-112",50190,"M","chinook","Mid.Up_Columbia_R_sp","0.51029916","Snake_R_sp","0.48560084","Dworshak","0.995359"
"90839-113",50191,"F","chinook","Snake_R_sp","0.85601439","Mid.Up_Columbia_R_sp","0.14388561",NA,NA
"90839-114",50192,"M","chinook","Up_Columbia_R_su.fa","0.9316643","Snake_R_fa","0.0089357",NA,NA
"90839-115",50193,"F","chinook","Snake_R_sp","0.95260473","Mid.Up_Columbia_R_sp","0.04729527","Rapid_River","0.997043"
"90839-118",50197,"M","chinook","Mid.Up_Columbia_R_sp","0.64758152","Snake_R_sp","0.35161848","Carson","0.995179"
"90839-119",50198,"F","chinook","Snake_R_sp","0.9923","Mid.Up_Columbia_R_sp","0.0077","Rapid_River","0.997251"
"90839-121",50200,"F","chinook","Mid.Up_Columbia_R_sp","0.70427136","Snake_R_sp","0.29412864","Clearwater","0.999317"
"90839-122",50201,"M","chinook","Snake_R_sp","0.6382446","Mid.Up_Columbia_R_sp","0.3613554","Carson","0.994848"
"90839-123",50202,"F","chinook","Mid.Up_Columbia_R_sp","0.61831764","Snake_R_sp","0.19408236","Little_White_Salmon_sp","0.996655"
"90839-124",50203,"F","chinook","Snake_R_sp","0.65114388","Mid.Up_Columbia_R_sp","0.34815612","Winthrop","0.998206"
"90839-125",50204,"F","chinook","Snake_R_sp","0.58054194","Mid.Up_Columbia_R_sp","0.41935806","Leavenworth","0.977210"
"90839-126",50205,"F","chinook","Mid.Up_Columbia_R_sp","0.9395","Snake_R_sp","0.0605","Little_White_Salmon_sp","0.997771"
"90839-127",50206,"F","chinook","Snake_R_sp","1","Deschutes_R_fa","0","Rapid_River","0.999300"
"90839-128",50207,"M","chinook","Snake_R_sp","0.86032128","Mid.Up_Columbia_R_sp","0.13807872","Lookingglass","0.999591"
"90839-129",50208,"M","chinook","Snake_R_sp","0.98100189","Mid.Up_Columbia_R_sp","0.01889811","McCall","0.981792"
"90839-130",50209,"F","chinook","Snake_R_sp","0.93068184","Mid.Up_Columbia_R_sp","0.06811816","Dworshak","0.997516"
"90839-132",50211,"M","chinook","Snake_R_sp","0.95201904","Mid.Up_Columbia_R_sp","0.04758096","Dworshak","0.994422"
"90839-134",50213,"F","chinook","Mid.Up_Columbia_R_sp","0.8804","Snake_R_sp","0.1196","Leavenworth","0.998114"
"90839-135",50214,"M","chinook","Mid.Up_Columbia_R_sp","0.9876","Snake_R_sp","0.0124","Winthrop","0.996574"
"90839-136",50215,"F","chinook","Snake_R_sp","1","Deschutes_R_fa","0","Rapid_River","0.996592"
"90839-137",50216,"F","chinook","Snake_R_sp","0.558","Mid.Up_Columbia_R_sp","0.442","Clearwater","0.998274"
"90839-139",50218,"F","chinook","Snake_R_sp","1","Deschutes_R_fa","0","Rapid_River","0.995665"
"90839-140",50219,"F","chinook","Snake_R_sp","0.6765","Mid.Up_Columbia_R_sp","0.3235",NA,NA
"90839-141",50220,"M","chinook","Snake_R_sp","0.57042412","Mid.Up_Columbia_R_sp","0.42577588",NA,NA
"90839-143",50222,"F","chinook","Snake_R_sp","0.9987","Mid.Up_Columbia_R_sp","0.0013","Rapid_River","0.997967"
"90839-144",50223,"F","chinook","Mid.Up_Columbia_R_sp","0.926","Snake_R_sp","0.074","Little_White_Salmon_sp","0.992795"
"90839-145",50224,"F","chinook","Snake_R_sp","0.9871","Mid.Up_Columbia_R_sp","0.0129","Rapid_River","0.990928"
"90839-148",50227,"F","chinook","Snake_R_sp","1","Deschutes_R_fa","0","Rapid_River","0.975425"
"90839-149",50228,"M","chinook","Mid.Up_Columbia_R_sp","0.9998","Deschutes_R_fa","0","Parkdale","0.999088"
"90839-151",50230,"M","chinook","Snake_R_sp","0.5911","Mid.Up_Columbia_R_sp","0.4089","McCall","0.990441"
"90839-155",50235,"M","chinook","Mid.Up_Columbia_R_sp","0.91880811","Snake_R_sp","0.08109189","Carson","0.991314"
"90839-156",50236,"F","chinook","Snake_R_sp","0.9914","Mid.Up_Columbia_R_sp","0.0086","Rapid_River","0.994208"
"90839-157",50237,"F","chinook","Up_Columbia_R_su.fa","0.8492","Snake_R_fa","0.1508","Entiat","0.555083"
"90839-158",50238,"F","chinook","Mid.Up_Columbia_R_sp","0.95872842","Snake_R_sp","0.04057158",NA,NA
"90839-159",50239,"F","chinook","Mid.Up_Columbia_R_sp","0.98680131","Snake_R_sp","0.01309869","Carson","0.986332"
"90839-169",50251,"F","chinook","Mid.Up_Columbia_R_sp","0.94621072","Snake_R_sp","0.05358928","Clearwater","0.998943"
"90839-172",50254,"M","chinook","Mid.Up_Columbia_R_sp","0.8876","Snake_R_sp","0.1124",NA,NA
"90839-174",50256,"F","chinook","Snake_R_sp","0.9461","Mid.Up_Columbia_R_sp","0.0539","Lookingglass","0.998960"
"90839-175",50257,"M","chinook","Snake_R_sp","0.834746","Mid.Up_Columbia_R_sp","0.163754","Dworshak","0.999280"
"90839-176",50258,"M","chinook","Snake_R_sp","0.9997","Mid.Up_Columbia_R_sp","0.0003",NA,NA
"90839-177",50259,"F","chinook","Mid.Up_Columbia_R_sp","0.9914","Snake_R_sp","0.0086","Parkdale","0.998465"
"90839-178",50260,"F","chinook","Snake_R_sp","1","Deschutes_R_fa","0","Rapid_River","0.995261"
"90839-179",50261,"M","chinook","Snake_R_sp","0.9986","Mid.Up_Columbia_R_sp","0.0014","Rapid_River","0.997033"
"90839-180",50262,"F","chinook","Mid.Up_Columbia_R_sp","0.9748","Snake_R_sp","0.0252","Carson","0.986499"
"90839-181",50263,"F","chinook","Mid.Up_Columbia_R_sp","0.9668","Snake_R_sp","0.0332","Carson","0.999497"
"90839-183",50265,"F","chinook","Snake_R_sp","0.8715","Mid.Up_Columbia_R_sp","0.1285","Dworshak","0.998400"
"90839-184",50266,"F","chinook","Mid.Up_Columbia_R_sp","0.7696","Snake_R_sp","0.2304","Dworshak","0.996466"
"90839-185",50267,"F","chinook","Mid.Up_Columbia_R_sp","0.82311768","Snake_R_sp","0.17678232","Leavenworth","0.993939"
"90839-187",50269,"M","chinook","Mid.Up_Columbia_R_sp","0.98042208","Snake_R_sp","0.01837792","Chief_Joseph_sp","0.994322"
"90839-189",50271,"M","chinook","Mid.Up_Columbia_R_sp","0.81378756","Snake_R_sp","0.12581244","Little_White_Salmon_sp","0.979013"
"90839-190",50272,"M","chinook","Snake_R_sp","0.9999","Mid.Up_Columbia_R_sp","0.0001","Rapid_River","0.996761"
"90839-191",50273,"F","chinook","Snake_R_sp","0.964","Mid.Up_Columbia_R_sp","0.036","Clearwater","0.998328"
"90839-192",50274,"M","chinook","Mid.Up_Columbia_R_sp","0.6133","Snake_R_sp","0.3867","Little_White_Salmon_sp","0.993488"
"90839-193",50275,"M","chinook","Mid.Up_Columbia_R_sp","0.79388874","Snake_R_sp","0.20421126","Little_White_Salmon_sp","0.943545"
"90839-195",50277,"F","chinook","Snake_R_sp","0.9563","Mid.Up_Columbia_R_sp","0.0437","McCall","0.888727"
"90839-196",50278,"M","chinook","Snake_R_sp","0.99140693","Mid.Up_Columbia_R_sp","0.00769307","Lookingglass","0.996905"
"90839-197",50279,"M","chinook","Snake_R_sp","0.87055164","Mid.Up_Columbia_R_sp","0.12904836","McCall","0.998475"
"90839-198",50285,"M","chinook","Snake_R_sp","0.5296","Mid.Up_Columbia_R_sp","0.4704","Lookingglass","0.999136"
"90839-200",50286,"F","chinook","W_Cascade_sp","0.72145008","W_Cascade_fa","0.18534992",NA,NA
"90839-201",50288,"F","chinook","Spring_Cr_Group_tule","0.99010098","W_Cascade_fa","0.00009902","Bonneville","0.991467"
"90839-202",50289,"M","chinook","Snake_R_sp","0.60647868","Mid.Up_Columbia_R_sp","0.39332132",NA,NA
"90839-203",50290,"M","chinook","Mid.Up_Columbia_R_sp","0.5823","Snake_R_sp","0.4177","Little_White_Salmon_sp","0.980175"
"90839-204",50291,"M","chinook","Snake_R_sp","0.9991","Mid.Up_Columbia_R_sp","0.0009","McCall","0.997812"
"90839-207",50294,"F","chinook","Mid.Up_Columbia_R_sp","0.565134","Snake_R_sp","0.417366","McCall","0.999212"
"90839-209",50296,"M","chinook","Snake_R_sp","0.9999","Mid.Up_Columbia_R_sp","0.0001","Rapid_River","0.996416"
"90839-210",50297,"F","chinook","Mid.Up_Columbia_R_sp","0.98783717","Snake_R_sp","0.00626283","Carson","0.997800"
"90839-214",50301,"M","chinook","Mid.Up_Columbia_R_sp","0.9533093","Snake_R_sp","0.0464907","Carson","0.998333"
"90839-215",50302,"M","chinook","Mid.Up_Columbia_R_sp","0.89753376","Snake_R_sp","0.09126624","Carson","0.998336"
"90839-217",50304,"M","chinook","Mid.Up_Columbia_R_sp","0.91762463","Snake_R_sp","0.08207537","Clearwater","0.978075"
