"mixture_collection","indiv","repunit","collection","PofZ","log_likelihood","z_score","n_non_miss_loci"
"JSOES_May2024","90839-001","chinook","chinook",1,-113.543454643944,3.39811022945207,176
"JSOES_May2024","90839-002","chinook","chinook",1,-124.414607048073,2.12360135997038,176
"JSOES_May2024","90839-003","chinook","chinook",1,-168.554980890461,-3.05131440544466,176
"JSOES_May2024","90839-004","chinook","chinook",1,-132.568131778427,1.16770089973712,176
"JSOES_May2024","90839-005","chinook","chinook",1,-219.371619907005,-9.00894012314046,176
"JSOES_May2024","90839-006","chinook","chinook",1,-109.985995063488,3.81517859714337,176
"JSOES_May2024","90839-007","chinook","chinook",1,-121.93161960633,2.41470108883737,176
"JSOES_May2024","90839-008","chinook","chinook",1,-146.878289996123,-0.509989090627863,176
"JSOES_May2024","90839-009","chinook","chinook",1,-208.800241055082,-7.76957601448273,176
"JSOES_May2024","90839-010","chinook","chinook",1,-108.346173773493,4.00742746835491,176
"JSOES_May2024","90839-011","chinook","chinook",1,-147.508866860677,-0.583916469886921,176
"JSOES_May2024","90839-012","chinook","chinook",1,-135.93494823858,0.77298309238197,176
"JSOES_May2024","90839-013","chinook","chinook",1,-150.91874665387,-0.983682923224429,176
"JSOES_May2024","90839-014","chinook","chinook",1,-154.374106578874,-1.38878136246598,176
"JSOES_May2024","90839-015","chinook","chinook",1,-234.892948256066,-10.8286249101461,176
"JSOES_May2024","90839-016","chinook","chinook",1,-182.597858235732,-4.69766900192622,176
"JSOES_May2024","90839-017","chinook","chinook",1,-156.607791036594,-1.65065338367924,176
"JSOES_May2024","90839-018","chinook","chinook",1,-139.301319227001,0.378317511106606,176
"JSOES_May2024","90839-019","chinook","chinook",1,-203.542330684558,-7.15315071263273,176
"JSOES_May2024","90839-020","chinook","chinook",1,-208.950981131059,-7.78724843380647,176
"JSOES_May2024","90839-021","chinook","chinook",1,-219.800330000493,-9.05920110709821,176
"JSOES_May2024","90839-022","chinook","chinook",1,-150.40416196708,-0.923354199733881,176
"JSOES_May2024","90839-023","chinook","chinook",1,-177.468561322283,-4.09632204556194,176
"JSOES_May2024","90839-024","chinook","chinook",1,-193.821184221145,-6.01346589095329,176
"JSOES_May2024","90839-025","chinook","chinook",1,-155.490255668007,-1.51963611096751,176
"JSOES_May2024","90839-026","chinook","chinook",1,-190.74525991981,-5.65285161031672,176
"JSOES_May2024","90839-027","chinook","chinook",1,-229.716699013188,-10.22177337082,176
"JSOES_May2024","90839-028","chinook","chinook",1,-215.73638245936,-8.5827532574375,176
"JSOES_May2024","90839-029","chinook","chinook",1,-223.978954236186,-9.54909338830647,176
"JSOES_May2024","90839-030","chinook","chinook",1,-209.14975160383,-7.81055182622712,176
"JSOES_May2024","90839-031","chinook","chinook",1,-225.736052267639,-9.75509151457547,176
"JSOES_May2024","90839-032","chinook","chinook",1,-231.0974102543,-10.3836447766814,176
"JSOES_May2024","90839-033","chinook","chinook",1,-207.805176116906,-7.65291689295902,176
"JSOES_May2024","90839-034","chinook","chinook",1,-228.30399991088,-10.0561517817862,176
"JSOES_May2024","90839-035","chinook","chinook",1,-229.583232038574,-10.2061260101167,176
"JSOES_May2024","90839-036","chinook","chinook",1,-220.971077395526,-9.19645683523289,176
"JSOES_May2024","90839-038","chinook","chinook",1,-180.592316453896,-4.46254390257661,176
"JSOES_May2024","90839-039","chinook","chinook",1,-193.856452593833,-6.01760067373736,176
"JSOES_May2024","90839-040","chinook","chinook",1,-152.718256885952,-1.19465335821176,176
"JSOES_May2024","90839-041","chinook","chinook",1,-165.344710496129,-2.67494969829025,176
"JSOES_May2024","90839-042","chinook","chinook",1,-206.309100601282,-7.47752044526012,176
"JSOES_May2024","90839-043","chinook","chinook",1,-143.866494931508,-0.156893174002246,176
"JSOES_May2024","90839-044","chinook","chinook",1,-147.820868783869,-0.620494856760904,176
"JSOES_May2024","90839-045","chinook","chinook",1,-144.406389650048,-0.220189187321298,176
"JSOES_May2024","90839-046","chinook","chinook",1,-257.14139144172,-13.4369811467401,176
"JSOES_May2024","90839-047","chinook","chinook",1,-156.782218579724,-1.67110286709533,176
"JSOES_May2024","90839-048","chinook","chinook",1,-175.587354286971,-3.87577366552771,176
"JSOES_May2024","90839-049","chinook","chinook",1,-168.98064266422,-3.10121801141822,176
"JSOES_May2024","90839-050","chinook","chinook",1,-168.204954132381,-3.01027807450702,176
"JSOES_May2024","90839-051","chinook","chinook",1,-177.691176574288,-4.12242094498079,176
"JSOES_May2024","90839-052","chinook","chinook",1,-212.639228188939,-8.219650024122,176
"JSOES_May2024","90839-053","chinook","chinook",1,-184.50609125002,-4.92138584548952,176
"JSOES_May2024","90839-054","chinook","chinook",1,-159.648178951433,-2.00710146021032,176
"JSOES_May2024","90839-055","chinook","chinook",1,-158.172861899593,-1.83413868699462,176
"JSOES_May2024","90839-056","chinook","chinook",1,-151.752792784531,-1.08146457061268,176
"JSOES_May2024","90839-057","chinook","chinook",1,-201.524288143382,-6.91656005304972,176
"JSOES_May2024","90839-058","chinook","chinook",1,-211.991339373483,-8.14369303161188,176
"JSOES_May2024","90839-059","chinook","chinook",1,-139.408536367738,0.365747620468574,176
"JSOES_May2024","90839-060","chinook","chinook",1,-185.151889530209,-4.99709774845988,176
"JSOES_May2024","90839-061","chinook","chinook",1,-140.691053005624,0.21538832372811,176
"JSOES_May2024","90839-062","chinook","chinook",1,-286.590201911055,-16.8894918598265,176
"JSOES_May2024","90839-063","chinook","chinook",1,-175.632264020004,-3.88103877919257,176
"JSOES_May2024","90839-064","chinook","chinook",1,-286.70430324643,-16.9028688375883,176
"JSOES_May2024","90839-065","chinook","chinook",1,-208.194006810263,-7.69850250789544,176
"JSOES_May2024","90839-066","chinook","chinook",1,-217.462279148742,-8.78509341022482,176
"JSOES_May2024","90839-067","chinook","chinook",1,-140.761305937481,0.207152031803268,176
"JSOES_May2024","90839-068","chinook","chinook",1,-215.82925965269,-8.5936419656692,176
"JSOES_May2024","90839-069","chinook","chinook",1,-154.665532347499,-1.42294744836932,176
"JSOES_May2024","90839-070","chinook","chinook",1,-212.736145942767,-8.23101243836032,176
"JSOES_May2024","90839-071","chinook","chinook",1,-159.152027062961,-1.94893375554016,176
"JSOES_May2024","90839-072","chinook","chinook",1,-157.152054278003,-1.71446155255795,176
"JSOES_May2024","90839-073","chinook","chinook",1,-215.739983021187,-8.58317537901331,176
"JSOES_May2024","90839-074","chinook","chinook",1,-195.758252531003,-6.24056331815601,176
"JSOES_May2024","90839-075","chinook","chinook",1,-171.406305871455,-3.38559717906033,176
"JSOES_May2024","90839-076","chinook","chinook",1,-147.691062939531,-0.605276718538782,176
"JSOES_May2024","90839-077","chinook","chinook",1,-163.030566557997,-2.40364479290726,176
"JSOES_May2024","90839-078","chinook","chinook",1,-192.965620720923,-5.91316159671647,176
"JSOES_May2024","90839-079","chinook","chinook",1,-118.113963571721,2.86227428953055,176
"JSOES_May2024","90839-080","chinook","chinook",1,-194.286542087216,-6.06802337536184,176
"JSOES_May2024","90839-081","chinook","chinook",1,-268.161365859782,-14.7289375663692,176
"JSOES_May2024","90839-082","chinook","chinook",1,-215.776794622706,-8.58749108639111,176
"JSOES_May2024","90839-083","chinook","chinook",1,-162.638156499416,-2.35763954143595,176
"JSOES_May2024","90839-084","chinook","chinook",1,-194.89428144614,-6.13927333806005,176
"JSOES_May2024","90839-085","chinook","chinook",1,-237.353917806744,-11.1171433121761,176
"JSOES_May2024","90839-086","chinook","chinook",1,-178.39716583238,-4.20518949956886,176
"JSOES_May2024","90839-087","chinook","chinook",1,-156.298068591252,-1.61434223753845,176
"JSOES_May2024","90839-088","chinook","chinook",1,-157.169354854237,-1.7164898322691,176
"JSOES_May2024","90839-089","chinook","chinook",1,-189.959379374856,-5.56071678526207,176
"JSOES_May2024","90839-090","chinook","chinook",1,-178.31039647429,-4.19501685987318,176
"JSOES_May2024","90839-091","chinook","chinook",1,-161.25602122312,-2.19560118496934,176
"JSOES_May2024","90839-092","chinook","chinook",1,-117.671783774484,2.91411443053244,176
"JSOES_May2024","90839-093","chinook","chinook",1,-136.636141554112,0.690776803053592,176
"JSOES_May2024","90839-094","chinook","chinook",1,-147.471307111531,-0.579513051404492,176
"JSOES_May2024","90839-095","chinook","chinook",1,-154.312906154296,-1.38160636564488,176
"JSOES_May2024","90839-096","chinook","chinook",1,-200.524373828163,-6.79933240173064,176
"JSOES_May2024","90839-097","chinook","chinook",1,-150.470869505714,-0.931174837922882,176
"JSOES_May2024","90839-098","chinook","chinook",1,-121.700084919001,2.44184568231035,176
"JSOES_May2024","90839-099","chinook","chinook",1,-233.694822866658,-10.6881594490078,176
"JSOES_May2024","90839-100","chinook","chinook",1,-135.931232033687,0.77341877168441,176
"JSOES_May2024","90839-101","chinook","chinook",1,-174.903026648336,-3.79554466931379,176
"JSOES_May2024","90839-102","chinook","chinook",1,-152.622782805677,-1.18346019693564,176
"JSOES_May2024","90839-103","chum","chum",0.995325625929044,-372.176045442846,-104.91584146636,176
"JSOES_May2024","90839-104","chinook","chinook",1,-131.556157899631,1.28634238651445,176
"JSOES_May2024","90839-105","chinook","chinook",1,-162.294816393079,-2.31738713814806,176
"JSOES_May2024","90839-106","chinook","chinook",1,-205.798133144159,-7.41761579744453,176
"JSOES_May2024","90839-107","chinook","chinook",1,-131.730365428809,1.2659186970274,176
"JSOES_May2024","90839-108","chinook","chinook",1,-156.902966078568,-1.68525902575478,176
"JSOES_May2024","90839-109","chinook","chinook",1,-226.9158178382,-9.89340451283847,176
"JSOES_May2024","90839-110","chinook","chinook",1,-174.05203638097,-3.69577653036387,176
"JSOES_May2024","90839-111","chinook","chinook",1,-231.676566834633,-10.4515437602494,176
"JSOES_May2024","90839-112","chinook","chinook",1,-172.833296498875,-3.55289427358207,176
"JSOES_May2024","90839-113","chinook","chinook",1,-159.530573902971,-1.99331371519586,176
"JSOES_May2024","90839-114","chinook","chinook",1,-222.00100243449,-9.31720287468334,176
"JSOES_May2024","90839-115","chinook","chinook",1,-169.829673791927,-3.20075646534679,176
"JSOES_May2024","90839-116","chinook","chinook",1,-178.031760120586,-4.16235017551858,176
"JSOES_May2024","90839-117","chum","chum",0.99999999717756,-498.347901626571,-145.940788841533,176
"JSOES_May2024","90839-118","chinook","chinook",1,-182.753385875061,-4.71590270415075,176
"JSOES_May2024","90839-119","chinook","chinook",1,-195.359602377127,-6.19382649228441,176
"JSOES_May2024","90839-120","chinook","chinook",1,-177.163072311838,-4.06050721757797,176
"JSOES_May2024","90839-121","chinook","chinook",1,-155.749293246559,-1.55000508006292,176
"JSOES_May2024","90839-122","chinook","chinook",1,-199.307559665869,-6.65667591190295,176
"JSOES_May2024","90839-123","chinook","chinook",1,-179.153191313452,-4.29382418569602,176
"JSOES_May2024","90839-124","chinook","chinook",1,-161.140518949032,-2.18205996437952,176
"JSOES_May2024","90839-125","chinook","chinook",1,-142.906070844123,-0.0442952660406828,176
"JSOES_May2024","90839-126","chinook","chinook",1,-155.404133985558,-1.50953940327217,176
"JSOES_May2024","90839-127","chinook","chinook",1,-135.70426315654,0.800028080087702,176
"JSOES_May2024","90839-128","chinook","chinook",1,-163.743207926896,-2.48719322564526,176
"JSOES_May2024","90839-129","chinook","chinook",1,-167.509109891073,-2.92869889832072,176
"JSOES_May2024","90839-130","chinook","chinook",1,-197.441695072166,-6.43792624438631,176
"JSOES_May2024","90839-131","chinook","chinook",1,-230.475975973998,-10.3107892529428,176
"JSOES_May2024","90839-132","chinook","chinook",1,-220.167254014748,-9.10221843343212,176
"JSOES_May2024","90839-133","chinook","chinook",1,-262.576071341185,-14.0741305010286,176
"JSOES_May2024","90839-134","chinook","chinook",1,-141.738160357472,0.0926278694892586,176
"JSOES_May2024","90839-135","chinook","chinook",1,-173.493297740819,-3.6302712990763,176
"JSOES_May2024","90839-136","chinook","chinook",1,-200.513039894629,-6.79800363746731,176
"JSOES_May2024","90839-137","chinook","chinook",1,-172.299814061021,-3.49035002128183,176
"JSOES_May2024","90839-138","chinook","chinook",1,-214.385349559505,-8.42436127194995,176
"JSOES_May2024","90839-139","chinook","chinook",1,-171.623577158159,-3.41106956429544,176
"JSOES_May2024","90839-140","chinook","chinook",1,-152.803443385426,-1.204640427209,176
"JSOES_May2024","90839-141","chinook","chinook",1,-194.079214830498,-6.04371680529917,176
"JSOES_May2024","90839-142","chinook","chinook",1,-254.716609112296,-13.1527052511838,176
"JSOES_May2024","90839-143","chinook","chinook",1,-186.712655627139,-5.18007837091607,176
"JSOES_May2024","90839-144","chinook","chinook",1,-149.651325619601,-0.83509340028396,176
"JSOES_May2024","90839-145","chinook","chinook",1,-182.924371800469,-4.73594870023171,176
"JSOES_May2024","90839-146","chinook","chinook",1,-218.818253166354,-8.94406468097769,176
"JSOES_May2024","90839-147","chinook","chinook",1,-272.125194426289,-15.1936476980383,176
"JSOES_May2024","90839-148","chinook","chinook",1,-175.051820580141,-3.81298892717722,176
"JSOES_May2024","90839-149","chinook","chinook",1,-144.526934337294,-0.234321568816127,176
"JSOES_May2024","90839-150","chinook","chinook",1,-271.745109709111,-15.1490874412054,176
"JSOES_May2024","90839-151","chinook","chinook",1,-177.38501309238,-4.08652704351591,176
"JSOES_May2024","90839-152","chinook","chinook",1,-216.580865983483,-8.68175856079577,176
"JSOES_May2024","90839-153","chinook","chinook",1,-210.716183230877,-7.99419666238534,176
"JSOES_May2024","90839-154","chinook","chinook",1,-197.34031166116,-6.42604028678564,176
"JSOES_May2024","90839-155","chinook","chinook",1,-153.495323870408,-1.28575490173295,176
"JSOES_May2024","90839-156","chinook","chinook",1,-159.336715965751,-1.97058625712875,176
"JSOES_May2024","90839-157","chinook","chinook",1,-231.901187342876,-10.4778777512911,176
"JSOES_May2024","90839-158","chinook","chinook",1,-149.082465913365,-0.768401598519452,176
"JSOES_May2024","90839-159","chinook","chinook",1,-175.420290958819,-3.85618754571453,176
"JSOES_May2024","90839-160","chinook","chinook",1,-196.001542353899,-6.26908605664854,176
"JSOES_May2024","90839-161","chinook","chinook",1,-251.625638320355,-12.7903269546436,176
"JSOES_May2024","90839-162","chinook","chinook",1,-286.553886410496,-16.8852343141826,176
"JSOES_May2024","90839-163","chinook","chinook",1,-217.619650065558,-8.80354321405649,176
"JSOES_May2024","90839-164","chum","chum",0.920970690150786,-496.825297119322,-145.44571195456,176
"JSOES_May2024","90839-165","chinook","chinook",1,-271.545037586139,-15.1256314463131,176
"JSOES_May2024","90839-166","chinook","chinook",1,-244.862814766243,-11.9974690972575,176
"JSOES_May2024","90839-167","chinook","chinook",1,-203.600704515513,-7.15999432612761,176
"JSOES_May2024","90839-168","chinook","chinook",1,-234.488055502563,-10.7811562162722,176
"JSOES_May2024","90839-169","chinook","chinook",1,-183.738071607297,-4.8313449914754,176
"JSOES_May2024","90839-170","chinook","chinook",1,-231.090323402803,-10.3828139305343,176
"JSOES_May2024","90839-171","chinook","chinook",1,-178.272352038778,-4.19055661787748,176
"JSOES_May2024","90839-172","chinook","chinook",1,-156.512169960762,-1.63944298898272,176
"JSOES_May2024","90839-173","chinook","chinook",1,-223.937379147533,-9.5442192206683,176
"JSOES_May2024","90839-174","chinook","chinook",1,-182.954069662448,-4.73943040917023,176
"JSOES_May2024","90839-175","chinook","chinook",1,-181.680206891335,-4.59008567183864,176
"JSOES_May2024","90839-176","chinook","chinook",1,-190.974195774058,-5.67969152258501,176
"JSOES_May2024","90839-177","chinook","chinook",1,-183.232431814322,-4.77206494673372,176
"JSOES_May2024","90839-178","chinook","chinook",1,-150.121019346103,-0.890159210983046,176
"JSOES_May2024","90839-179","chinook","chinook",1,-208.948506721979,-7.78695833978503,176
"JSOES_May2024","90839-180","chinook","chinook",1,-152.527025805542,-1.17223386678679,176
"JSOES_May2024","90839-181","chinook","chinook",1,-151.447927074814,-1.04572281697055,176
"JSOES_May2024","90839-182","chinook","chinook",1,-192.855808833987,-5.90028750401024,176
"JSOES_May2024","90839-183","chinook","chinook",1,-156.281118615111,-1.61235506137473,176
"JSOES_May2024","90839-184","chinook","chinook",1,-163.236477459673,-2.42778531276692,176
"JSOES_May2024","90839-185","chinook","chinook",1,-174.279165572807,-3.72240463369216,176
"JSOES_May2024","90839-186","chinook","chinook",1,-270.2214320364,-14.9704549801828,176
"JSOES_May2024","90839-187","chinook","chinook",1,-185.981097044094,-5.09431212756157,176
"JSOES_May2024","90839-188","chinook","chinook",1,-214.190725201671,-8.40154396049527,176
"JSOES_May2024","90839-189","chinook","chinook",1,-196.626563841006,-6.34236213625094,176
"JSOES_May2024","90839-190","chinook","chinook",1,-173.132006470482,-3.58791434266612,176
"JSOES_May2024","90839-191","chinook","chinook",1,-201.661479453473,-6.9326440462665,176
"JSOES_May2024","90839-192","chinook","chinook",1,-200.06810266631,-6.74584022159616,176
"JSOES_May2024","90839-193","chinook","chinook",1,-215.940284014317,-8.60665820611572,176
"JSOES_May2024","90839-194","chum","chum",0.999999397917189,-472.532479406397,-137.546869864005,176
"JSOES_May2024","90839-195","chinook","chinook",1,-138.857271939853,0.430376592324577,176
"JSOES_May2024","90839-196","chinook","chinook",1,-115.398648065357,3.18061162559683,176
"JSOES_May2024","90839-197","chinook","chinook",1,-139.825091946659,0.316911603804411,176
"JSOES_May2024","90839-198","chinook","chinook",1,-124.588558237336,2.1032077231847,176
"JSOES_May2024","90839-199","chum","chum",0.99999999999904,-236.293573959043,-60.7334745705748,176
"JSOES_May2024","90839-200","chinook","chinook",1,-199.059908811308,-6.62764189610231,176
"JSOES_May2024","90839-201","chinook","chinook",1,-222.39622193378,-9.36353749851273,176
"JSOES_May2024","90839-202","chinook","chinook",1,-118.935228996977,2.76599102260755,176
"JSOES_May2024","90839-203","chinook","chinook",1,-117.827258510751,2.89588693054107,176
"JSOES_May2024","90839-204","chinook","chinook",1,-146.79211853455,-0.499886546942638,176
"JSOES_May2024","90839-205","chinook","chinook",1,-173.322248567058,-3.61021788790418,176
"JSOES_May2024","90839-206","chum","chum",1,-254.871491864733,-66.7741093640537,176
"JSOES_May2024","90839-207","chinook","chinook",1,-156.59507584757,-1.64916268420368,176
"JSOES_May2024","90839-208","chinook","chinook",1,-210.543324865513,-7.97393114575658,176
"JSOES_May2024","90839-209","chinook","chinook",1,-213.796554557166,-8.35533230198517,176
"JSOES_May2024","90839-210","chinook","chinook",1,-167.70093747266,-2.95118832216977,176
"JSOES_May2024","90839-211","chinook","chinook",1,-186.151401902651,-5.11427827693357,176
"JSOES_May2024","90839-212","chinook","chinook",1,-198.244490301165,-6.53204410804064,176
